Wavelength_nm,Reconstructed_1,Reconstructed_2,Reconstructed_3,Reconstructed_4,Reconstructed_5,Reconstructed_6
390,0.110391845781882,5.06751019858401e-09,4.85347682558261e-62,5.40295405642397e-192,3.02129718705595e-08,1.67165181545935e-35
391,0.175329751203103,1.41357555072822e-08,2.16619393992309e-60,5.38133503346875e-189,4.32949979706212e-08,2.60150465385167e-34
392,0.263711881039043,3.73044824332209e-08,9.14659212798983e-59,5.07068215467311e-186,5.87267145155315e-08,3.83019592882786e-33
393,0.375629133197246,9.31366500647063e-08,3.65375051894813e-57,4.52022805099137e-183,7.53695705629338e-08,5.33500675740101e-32
394,0.506692315661305,2.19987400473097e-07,1.38081681586304e-55,3.81216688004871e-180,9.15129293146162e-08,7.03018182793157e-31
395,0.647268994176201,4.91578186173067e-07,4.93686037887242e-54,3.04159273440129e-177,1.05120660456993e-07,8.76426987023563e-30
396,0.783034087611522,1.03921402226275e-06,1.66987215494425e-52,2.29587278841034e-174,1.14238267772694e-07,1.03367146253761e-28
397,0.897081403224659,2.07842804452549e-06,5.34359089582166e-51,1.63950286355539e-171,1.17449938984306e-07,1.1533653803692e-27
398,0.973281142819942,3.93262548938454e-06,1.61771040894891e-49,1.10762854307637e-168,1.1423826355445e-07,1.21749979472699e-26
399,1,7.03959681513909e-06,4.63325239523337e-48,7.07935512144739e-166,1.05120639234493e-07,1.21587374963133e-25
400,0.97300912320381,1.19214912082824e-05,1.25541911893001e-46,4.28066122039441e-163,9.15128316803154e-08,1.14875038043151e-24
401,0.896580015169184,1.90998950058091e-05,3.2181710077598e-45,2.44875659468344e-160,7.53691461336123e-08,1.02678721992937e-23
402,0.782377684536645,2.89500272789141e-05,7.80453617651993e-44,1.32525050753227e-157,5.87249690661217e-08,8.68266092226561e-23
403,0.646545600100415,4.15130435468002e-05,1.79061689738404e-42,6.78528259856574e-155,4.32882070902155e-08,6.94612873781253e-22
404,0.505984518342359,5.63167745211127e-05,3.88665381086733e-41,3.28666546563445e-152,3.01879763333632e-08,5.25715056603831e-21
405,0.37499952547535,7.22784068876068e-05,7.98117144916606e-40,1.50612377164586e-149,1.99166367910478e-08,3.764225246598e-20
406,0.26319623731754,8.77600718951559e-05,1.55051160720913e-38,6.52955260661191e-147,1.24312730688212e-08,2.54987206578681e-19
407,0.174937987516036,0.000100809850220387,2.84971221216795e-37,2.67808148853457e-144,7.34062113325221e-09,1.63410056288724e-18
408,0.110114382888612,0.000109553578720525,4.95501057460662e-36,1.03915839453096e-141,4.10079078882191e-09,9.90733317804859e-18
409,0.0656386087619527,0.000112633549042225,8.15090381276801e-35,3.81467298139472e-139,2.16730492217635e-09,5.68266896180164e-17
410,0.0370535585129636,0.000109553578720525,1.2684827070993e-33,1.32480047983561e-136,1.08365246108817e-09,3.08365332201307e-16
411,0.0198086763282634,0.000100809850220387,1.86758739536635e-32,4.35272510700768e-134,5.12598848602739e-10,1.58305621303098e-15
412,0.0100284908775353,8.77600718951559e-05,2.60132681446548e-31,1.35297447887528e-131,2.29394410414132e-10,7.68855502228806e-15
413,0.00480805887832083,7.22784068876068e-05,3.42788703579363e-30,3.97864846908665e-129,9.71193208501658e-11,3.5327322025626e-14
414,0.00218301809987575,5.63167745211127e-05,4.27342105818858e-29,1.10687641525562e-126,3.88996812325148e-11,1.5356572977973e-13
415,0.000938636348746343,4.15130435468002e-05,5.04013849488871e-28,2.91326706412484e-124,1.47402228190241e-11,6.31532200348274e-13
416,0.000382198310173159,2.89500272789141e-05,5.62376099461998e-27,7.25402527501946e-122,5.28420496706556e-12,2.45705167647567e-12
417,0.000147377155677768,1.90998950058091e-05,5.93647769655765e-26,1.70881650570077e-119,1.7921438313604e-12,9.0437944385602e-12
418,5.381706179301e-05,1.19214912082824e-05,5.92854916918883e-25,3.808284599315e-117,5.75020951331387e-13,3.14923213712918e-11
419,1.86104258823288e-05,7.03959681513909e-06,5.60125844938887e-24,8.02936060721743e-115,1.74546874381636e-13,1.03747171977198e-10
420,6.09448438667313e-06,3.93262548938454e-06,5.00657121801647e-23,1.60158550591117e-112,5.01254268680147e-14,3.23344486578317e-10
421,1.8899897694829e-06,2.07842804452549e-06,4.23362887903899e-22,3.02229530908717e-110,1.3618262219118e-14,9.53393646286417e-10
422,5.55035723402197e-07,1.03921402226275e-06,3.38690310323121e-21,5.39561886744294e-108,3.50028092062578e-15,2.65947949939339e-09
423,1.54354128740247e-07,4.91578186173067e-07,2.5633644636244e-20,9.11303907725601e-106,8.5114138869488e-16,7.01840847597584e-09
424,4.06488175706617e-08,2.19987400473097e-07,1.83542036869576e-19,1.45613888940464e-103,1.95802448703184e-16,1.75225874104613e-08
425,1.0136937895945e-08,9.31366500647063e-08,1.24330687472626e-18,2.20120235828351e-101,4.26139830033292e-17,4.13880942820246e-08
426,2.39389264066567e-09,3.73044824332209e-08,7.96780548754642e-18,3.14800010650156e-99,8.77412340288373e-18,9.24847708212529e-08
427,5.35685355302901e-10,1.41357555072822e-08,4.83077391048262e-17,4.25919091745432e-97,1.70912154327432e-18,1.95516142470498e-07
428,1.14966957439451e-10,5.06751019858401e-09,2.7708454403658e-16,5.45176437434191e-95,3.14963159982298e-19,3.91032284940996e-07
429,2.9032504314828e-11,1.71865156619607e-09,1.50357636603556e-15,6.60183471935004e-93,5.49116090648774e-20,7.39878166570022e-07
430,2.75256167293863e-11,5.5144048223577e-10,7.71891538853422e-15,7.56327371256446e-91,9.0570378192968e-21,1.32441901702478e-06
431,8.1600389266466e-11,1.67389053144752e-10,3.74890703113458e-14,8.1973331996526e-89,1.41327212404817e-21,2.24289118853904e-06
432,2.66398015425512e-10,4.8069882497972e-11,1.72254533588045e-13,8.40529497959283e-87,2.08633000887979e-22,3.59342513969963e-06
433,8.29881345901488e-10,1.30598042870194e-11,7.48780027513177e-13,8.15362870206476e-85,2.91378710586934e-23,5.44661401475767e-06
434,2.44687754148013e-09,3.35674134022669e-12,3.07932439764081e-12,7.48284074732677e-83,3.84990692157382e-24,7.81020075037832e-06
435,6.82552531610461e-09,8.16237767938715e-13,1.19804804402108e-11,6.49680264923202e-81,4.81238365196725e-25,1.05953521361983e-05
436,1.8012668125282e-08,1.87772978507704e-13,4.40971605985392e-11,5.33642545368296e-79,5.69099044115111e-26,1.35983493253953e-05
437,4.49715276240515e-08,4.08664680529182e-14,1.53555231995272e-10,4.1468547115633e-77,6.36697390405205e-27,1.65110461871118e-05
438,1.06222088175937e-07,8.41431399895892e-15,5.05866838902977e-10,3.04863051877399e-75,6.73900663398833e-28,1.89662115944154e-05
439,2.37361145794135e-07,1.63903385753257e-15,1.5766140915921e-09,2.12035396333605e-73,6.7480190242058e-29,2.06112433496972e-05
440,5.01790026465204e-07,3.0204714528227e-16,4.6487072455632e-09,1.39517774535089e-71,6.39255264132257e-30,2.11907042723966e-05
441,1.00358005293038e-06,5.26597928527083e-17,1.2967509974933e-08,8.68496983382467e-70,5.72914650515115e-31,2.06112433496972e-05
442,1.89888916635213e-06,8.68562665610132e-18,3.42214639899011e-08,5.11475327176641e-68,4.85761558841867e-32,1.89662115944154e-05
443,3.39910682159734e-06,1.35531663639567e-18,8.54393978534599e-08,2.84969685878833e-66,3.89649352911356e-33,1.65110461871118e-05
444,5.75635553481408e-06,2.00077375187082e-19,2.01806603723788e-07,1.50207023029357e-64,2.95693906883008e-34,1.35983493253953e-05
445,9.22248604727172e-06,2.79429847394726e-20,4.50951845437252e-07,7.49030348548653e-63,2.12289440261973e-35,1.05953521361983e-05
446,1.39786748862607e-05,3.69202987210701e-21,9.53328472103246e-07,3.53367163418269e-61,1.4418895979927e-36,7.81020075037832e-06
447,2.00447942134606e-05,4.61503734224104e-22,1.90665694420649e-06,1.57714116183625e-59,9.26516645129891e-38,5.44661401475767e-06
448,2.71928545727787e-05,5.45761453962357e-23,3.60761476349801e-06,6.65936076623516e-58,5.63238124215897e-39,3.59342513969963e-06
449,3.49000137873661e-05,6.10592626279428e-24,6.45781131916122e-06,2.66018671380747e-56,3.2392797891537e-40,2.24289118853904e-06
450,4.23754182059365e-05,6.46957701808373e-25,1.09362429252429e-05,1.00533151585245e-54,1.76247302820091e-41,1.32441901702478e-06
451,4.86765731854707e-05,7.39093038953529e-26,1.75213895628293e-05,3.59438071091393e-53,9.0722309637667e-43,7.39878166570022e-07
452,5.28985290689521e-05,1.21739665032488e-25,2.65574604286628e-05,1.21578408194618e-51,4.41797564091632e-44,3.91032284940996e-07
453,5.43857091455575e-05,1.37610616836718e-24,3.80822097556537e-05,3.89050906222783e-50,2.03540171567029e-45,1.95516142470498e-07
454,5.28985290689521e-05,1.5491136413618e-23,5.16624905532898e-05,1.17780667135228e-48,8.87144891065581e-47,9.24847708212529e-08
