Wavelength_nm,Reconstructed
880.9375,0.0207068150990444
880.946875,0.0206941893327892
880.95625,0.0206416528609347
880.965625,0.020549501957789
880.975,0.0204182624813688
880.984375,0.0202486845363904
880.99375,0.0200417350513387
881.003125,0.0197985883615986
881.0125,0.0195206149178591
881.021875,0.0192093682640248
881.03125,0.0188665704512019
881.040625,0.0184940960739139
881.05,0.0180939551308295
881.059375,0.0176682749251538
881.06875,0.0172192812290616
881.078125,0.0167492789419867
881.0875,0.0162606324746227
881.096875,0.0157557460885449
881.10625,0.0152370444162028
881.115625,0.0147069533774711
881.125,0.0141678816971816
881.134375,0.0136222032138761
881.14375,0.0130722401529633
881.153125,0.0125202475186949
881.1625,0.0119683987388244
881.171875,0.0114187726738793
881.18125,0.0108733420805889
881.190625,0.0103339635957478
881.2,0.00980236928391114
881.209375,0.00928015976968972
881.21875,0.00876879895342802
881.228125,0.00826961028850696
881.2375,0.0077837745789188
881.246875,0.00731232923816856
881.25625,0.00685616893468636
881.265625,0.00641604753498021
881.275,0.00599258124425502
881.284375,0.00558625283452817
881.29375,0.00519741684312588
881.303125,0.00482630561938789
881.3125,0.00447303609442181
881.321875,0.00413761714807779
881.33125,0.00381995744824541
881.340625,0.00351987364054595
881.35,0.00323709877095968
881.359375,0.0029712908297412
881.36875,0.00272204131218908
881.378125,0.00248888369978673
881.3875,0.00227130177416303
881.396875,0.00206873768573837
881.40625,0.00188059970866011
881.415625,0.00170626962368347
881.425,0.0015451096805123
881.434375,0.00139646910094694
881.44375,0.00125969009363791
881.453125,0.00113411336022197
881.4625,0.00101908308113828
881.471875,0.000913951377175976
881.48125,0.000818082249952747
881.490625,0.000730855010873731
881.5,0.000651667213670008
881.509375,0.000579937110432935
881.51875,0.000515105655005253
881.528125,0.000456638080826803
881.5375,0.000404025082799238
881.546875,0.000356783634488863
881.55625,0.000314457473126236
881.565625,0.000276617285353131
881.575,0.000242860626661179
881.584375,0.000212811606967576
881.59375,0.000186120373857867
881.603125,0.000162462423784616
881.6125,0.000141537769956184
881.621875,0.000123069993893141
881.63125,0.000106805205694905
881.640625,9.25109360058221e-05
881.65,7.99749805608298e-05
881.659375,6.90042160414286e-05
881.66875,5.94234038491915e-05
881.678125,5.10739963208407e-05
881.6875,4.38129578978441e-05
881.696875,3.75116118543403e-05
881.70625,3.20545213833809e-05
881.715625,2.73384121708075e-05
881.725,2.32711420481329e-05
881.734375,1.97707219182822e-05
881.74375,1.67643908965926e-05
881.753125,1.41877474963035e-05
881.7625,1.19839377168631e-05
881.771875,1.01029000548837e-05
881.78125,8.50066674587878e-06
881.790625,7.13871995363785e-06
881.8,5.98340114105873e-06
881.809375,5.0053714753586e-06
881.81875,4.17912082984793e-06
881.828125,3.48252273464332e-06
881.8375,2.89643249082245e-06
881.846875,2.40432558576288e-06
881.85625,1.99197352429832e-06
881.865625,1.64715421148881e-06
881.875,1.35939408071662e-06
881.884375,1.11973924864726e-06
881.89375,9.20553089286582e-07
881.903125,7.55337747803312e-07
881.9125,6.18577255498278e-07
